firstName,lastName,bcubeID
Christian,Bergman,1810
Jumbo,Diaz,5130
Edwin,Jackson,5755
Edwin,Jackson,5755
Edwin,Jackson,5755
Francisco,Liriano,6000
J.D.,Martin,6128
Adam,Wainwright,7368
Adam,Wainwright,7368
Adam,Wainwright,7368
Adam,Wainwright,7368
Joshua,Fields,20754
Eddie,Gamboa,21127
Santiago,Casilla,21702
Rich,Hill,21801
Rich,Hill,21801
David,Hale,21837
Brandon,McCarthy,21971
Charlie,Morton,22051
Pat,Neshek,22078
Dallas,Keuchel,23646
James,Paxton,24328
Garrett,Richards,24522
Robert,Stock,24914
Stephen,Strasburg,24929
Stephen,Strasburg,24929
Jason,Vargas,36206
Jason,Vargas,36206
Max,Scherzer,37221
Kris,Medlen,37596
Kris,Medlen,37596
Ian,Kennedy,37663
Doug,Fister,38206
Cole,Hamels,43511
Boone,Logan,43948
Mitch,Talbot,44826
Ervin,Santana,45678
Ervin,Santana,45678
Ervin,Santana,45678
Jake,Arrieta,45875
Homer,Bailey,45886
Yovani,Gallardo,46118
Gio,Gonzalez,46140
Javy,Guerra,46153
Phil,Hughes,46202
Clay,Buchholz,47131
Clay,Buchholz,47131
Clay,Buchholz,47131
Clay,Buchholz,47131
Clay,Buchholz,47131
Jeff,Samardzija,49977
Jeff,Samardzija,49977
Jeff,Samardzija,49977
Jeff,Samardzija,49977
Carlos,Carrasco,50923
Jonny,Venters,51085
Anibal,Sanchez,51320
Anibal,Sanchez,51320
Lance,Lynn,54158
Wade,Miley,54168
Wade,Miley,54168
Jaime,Garcia,54522
Josh,Tomlin,54584
Chaz,Roe,54839
Ross,Detwiler,55737
Barry,Enright,55898
Corey,Kluber,56807
Johnny,Cueto,101154
Johnny,Cueto,101154
Jeremy,Hellickson,101293
Chris,Volstad,101629
Clayton,Kershaw,122510
Chris,Tillman,122532
Chris,Tillman,122532
Chris,Tillman,122532
Chris,Tillman,122532
Chris,Tillman,122532
Chris,Tillman,122532
Brett,Anderson,122534
Trevor,Cahill,122541
Trevor,Cahill,122541
Josh,Ravin,122577
Chris,Archer,122581
Chris,Archer,122581
Mike,Minor,122671
Austin,Bibens-Dirkx,122718
Derek,Holland,122957
Justin,Miller,123098
Kyle,Gibson,123119
Preston,Guilmet,123499
Tommy,Milone,123709
Tommy,Milone,123709
Tanner,Roark,124257
Blaine,Hardy,124331
Matt,Shoemaker,125611
Matt,Shoemaker,125611
Alex,Wilson,126114
Madison,Bumgarner,128915
Madison,Bumgarner,128915
Madison,Bumgarner,128915
Neil,Ramirez,128933
Danny,Duffy,128962
Casey,Crosby,129003
Chad,Bettis,129042
Justin,De Fratus,129074
Justin,De Fratus,129074
Drew,Pomeranz,129084
Drew,Pomeranz,129084
Nick,Tepesch,129302
Eric,Jokisch,129475
Chase,Anderson,129504
Chris,Heston,129620
Liam,Hendriks,141526
Jhoulys,Chacin,141690
Jordan,Zimmermann,141878
Jordan,Zimmermann,141878
Jhan,Marinez,141883
Michael,Pineda,142454
Michael,Pineda,142454
Nathan,Eovaldi,142759
Nathan,Eovaldi,142759
Sam,Gaviglio,142777
Donn,Roach,142797
Ryan,Carpenter,142811
Ryan,Carpenter,142811
Ryan,Carpenter,142811
Kyle,Hendricks,142815
Kyle,Lobstein,142845
Kyle,Lobstein,142845
Jake,Odorizzi,142933
Trevor,May,142965
John,Lamb,142974
John,Lamb,142974
Allen,Webster,143007
Adam,Conley,143050
T.J.,House,143073
Tyler,Chatwood,143096
Matt,Andriese,143097
Casey,Kelly,143128
Sonny,Gray,143147
Danny,Hultzen,143157
Shawn,Armstrong,143213
Martin,Perez,143436
Martin,Perez,143436
Martin,Perez,143436
Julio,Teheran,143484
Jenrry,Mejia,143609
Jenrry,Mejia,143609
Matt,Tracy,144173
Matt,Tracy,144173
Deck,McGuire,144338
Deck,McGuire,144338
Dan,Straily,144841
Dan,Straily,144841
Dan,Straily,144841
Jacob,DeGrom,145200
Asher,Wojciechowski,145274
Asher,Wojciechowski,145274
Chris,Sale,146981
Christopher,Beck,148011
Vidal,Nuno,148019
Vidal,Nuno,148019
Austin,Adams,148021
Jacob,Turner,148061
Tyler,Skaggs,148169
Patrick,Corbin,148183
Brady,Rodgers,148239
Brady,Rodgers,148239
Steven,Matz,148281
Zack,Godley,148290
Bryan,Mitchell,148319
Ryan,Bollinger,148352
Miles,Mikolas,148421
Zack,Wheeler,148432
Zack,Wheeler,148432
Shelby,Miller,148463
Shelby,Miller,148463
Shelby,Miller,148463
Andrew,Heaney,148494
Andrew,Heaney,148494
Drew,Hutchison,148554
Marcus,Stroman,148577
Nick,Tropeano,148755
Nick,Tropeano,148755
Nick,Tropeano,148755
Tyler,Anderson,149208
Michael,Roth,149442
Gerrit,Cole,149742
Andrew,Triggs,150019
Brent,Suter,150041
Drew,Gagnon,150293
Drew,Gagnon,150293
Evan,Marshall,150614
Trevor,Bauer,150704
Chris,Bassitt,150833
Chris,Bassitt,150833
Ray,Black,151215
Ray,Black,151215
Anthony,DeSclafani,151257
Anthony,DeSclafani,151257
Drew,Smyly,151398
Colin,Rea,151453
Colin,Rea,151453
Ross,Stripling,151463
Mike,Hauschild,151738
Mike,Hauschild,151738
Brad,Goldberg,151743
Scott,Copeland,151990
Scott,Copeland,151990
Daniel,Corcino,152889
Aaron,Sanchez,156331
Aaron,Sanchez,156331
Aaron,Sanchez,156331
Aaron,Sanchez,156331
Ryne,Stanek,156348
Chi Chi,Gonzalez,156350
Robbie,Ray,156361
Robbie,Ray,156361
Rowan,Wick,156386
Jon,Gray,156398
Connor,Sadzeck,156431
John,Barbato,156462
Vincent,Velasquez,156477
Adam,Plutko,156484
Kevin,Gausman,156490
Parker,Bridwell,156513
Daniel,Poncedeleon,156552
Noah,Syndergaard,156570
Noah,Syndergaard,156570
Dylan,Covey,156587
Zach,Lee,156599
Zach,Lee,156599
Mike,Foltynewicz,156612
Marco,Gonzales,156693
Nick,Kingham,156714
Nick,Kingham,156714
Aaron,Blair,156727
Myles,Jaye,156742
Jameson,Taillon,156759
Dillon,Overton,156784
Bobby,Wahl,156790
Taijuan,Walker,156805
Mike,Kickham,156873
Ryan,O'Rourke,156888
Chase,Whitley,156896
Jerad,Eickhoff,156928
Jerad,Eickhoff,156928
Jerad,Eickhoff,156928
Cody,Anderson,157005
Cody,Anderson,157005
Justin,Haley,157023
Matt,Boyd,157347
Mike,Clevinger,157562
Dietrich,Enns,157819
Luke,Farrell,157854
Kendall,Graveman,158039
Kendall,Graveman,158039
Mark,Leiter,158527
Kyle,Lloyd,158564
Tyler,Mapes,158642
Alec,Mills,158797
Chris,Rowley,159242
Chris,Rowley,159242
Troy,Scribner,159330
Troy,Scribner,159330
Troy,Scribner,159330
Chris,Stratton,159486
Chris,Stratton,159486
Drew,Verhagen,159637
Michael,Wacha,159655
Michael,Wacha,159655
Tyler,Wagner,159661
Alex,Wood,159785
Casey,Lawrence,160997
Williams,Perez,161107
Williams,Perez,161107
Jose,Quintana,161123
Carlos,Martinez,161972
Hector,Neris,162005
Erasmo,Ramirez,162021
Erasmo,Ramirez,162021
Erasmo,Ramirez,162021
Trevor,Williams,162126
Ben,Lively,162450
Ben,Lively,162450
Chad,Kuhl,162616
Aaron,Slegers,163020
Aaron,Slegers,163020
Sean,Manaea,163027
Jimmy,Yacabonis,164131
Caleb,Smith,164167
Kyle,Mcgowin,164240
Kyle,Mcgowin,164240
Kyle,Mcgowin,164240
Josh,Prevost,164275
Josh,Prevost,164275
Josh,Prevost,164275
Joe,Biagini,164677
Artie,Lewicki,164896
Jeff,Brigham,164934
Jeff,Brigham,164934
Jeff,Brigham,164934
Jeff,Brigham,164934
Austin,Voth,164945
Spencer,Turnbull,165084
Spencer,Turnbull,165084
Spencer,Turnbull,165084
Spencer,Turnbull,165084
Spencer,Turnbull,165084
Matt,Wisler,165112
Andrew,Suarez,165113
Andrew,Suarez,165113
Andrew,Suarez,165113
Joe,Musgrove,165142
Joe,Musgrove,165142
